Type,EntryTime,ExitTime,EntryPrice,ExitPrice,StopLoss,TakeProfit,AnchorTime,AVWAPType,EntryAVWAP,EntryTrendSRSI_K,EntryShortSRSI_K,EntryADX
Short,2025-11-12 00:25:00+00:00,2025-11-12 00:34:00+00:00,50877.39011777447,50919.0,51021.04631467432,50159.10913327523,2025-11-11 21:42:00+00:00,high,50877.39011777447,77.22770397636462,56.932020777917856,47.413518682484856
Short,2025-11-12 00:36:00+00:00,2025-11-12 00:37:00+00:00,50876.76223327806,50888.5,51020.41843017791,50158.48124877882,2025-11-11 21:42:00+00:00,high,50876.76223327806,77.22770397636462,56.932020777917856,47.413518682484856
Short,2025-11-12 00:40:00+00:00,2025-11-12 00:42:00+00:00,50878.769461015174,50886.3,51022.425657915024,50160.48847651594,2025-11-11 21:42:00+00:00,high,50878.769461015174,77.22770397636462,56.932020777917856,47.413518682484856
Short,2025-11-12 00:53:00+00:00,2025-11-12 00:55:00+00:00,50888.36550226084,50912.3,51051.81054223927,50071.14030236869,2025-11-11 21:42:00+00:00,high,50888.36550226084,77.22770397636462,40.828281671284806,47.413518682484856
Short,2025-11-12 00:59:00+00:00,2025-11-12 01:00:00+00:00,50890.49146219329,50902.7,51053.936502171724,50073.26626230114,2025-11-11 21:42:00+00:00,high,50890.49146219329,77.22770397636462,40.828281671284806,47.413518682484856
Short,2025-11-12 01:01:00+00:00,2025-11-12 01:02:00+00:00,50891.39296383969,50947.4,51054.83800381812,50074.16776394754,2025-11-11 21:42:00+00:00,high,50891.39296383969,77.22770397636462,40.828281671284806,47.413518682484856
Short,2025-11-12 01:11:00+00:00,2025-11-12 01:12:00+00:00,50897.91735976066,50923.9,51061.36239973909,50080.69215986851,2025-11-11 21:42:00+00:00,high,50897.91735976066,77.22770397636462,40.828281671284806,47.413518682484856
Short,2025-11-12 01:16:00+00:00,2025-11-12 01:17:00+00:00,50899.27306116582,50941.0,51062.71810114425,50082.04786127367,2025-11-11 21:42:00+00:00,high,50899.27306116582,77.22770397636462,40.828281671284806,47.413518682484856
Short,2025-11-12 01:22:00+00:00,2025-11-12 01:43:00+00:00,50901.093421685095,50909.9,51064.53846166353,50083.868221792945,2025-11-11 21:42:00+00:00,high,50901.093421685095,77.22770397636462,40.828281671284806,47.413518682484856
Short,2025-11-12 01:50:00+00:00,2025-11-12 01:51:00+00:00,50900.676262302724,50926.3,51066.48951371127,50071.610005260016,2025-11-11 21:42:00+00:00,high,50900.676262302724,77.22770397636462,19.575869038489458,47.413518682484856
Short,2025-11-12 02:32:00+00:00,2025-11-12 02:33:00+00:00,50913.69097845601,50928.4,51082.14614047823,50071.41516834492,2025-11-11 21:42:00+00:00,high,50913.69097845601,77.22770397636462,37.7262285178699,47.413518682484856
Short,2025-11-12 02:40:00+00:00,2025-11-12 04:46:00+00:00,50914.09249987753,50889.8,50914.09249987753,50071.81668976644,2025-11-11 21:42:00+00:00,high,50914.09249987753,77.22770397636462,37.7262285178699,47.413518682484856
Short,2025-11-12 04:51:00+00:00,2025-11-12 04:53:00+00:00,50877.6303150533,50881.1,51051.50924761992,50008.23565222019,2025-11-11 21:42:00+00:00,high,50877.6303150533,74.94117949647597,15.5517429139334,46.46319134192066
Short,2025-11-12 04:54:00+00:00,2025-11-12 04:55:00+00:00,50877.678741025215,50880.4,51051.55767359184,50008.284078192104,2025-11-11 21:42:00+00:00,high,50877.678741025215,74.94117949647597,15.5517429139334,46.46319134192066
Short,2025-11-12 04:57:00+00:00,2025-11-12 04:58:00+00:00,50877.746267863076,50910.9,51051.6252004297,50008.351605029966,2025-11-11 21:42:00+00:00,high,50877.746267863076,74.94117949647597,15.5517429139334,46.46319134192066
Short,2025-11-12 05:03:00+00:00,2025-11-12 05:06:00+00:00,50878.397483926,50905.4,51052.27641649262,50009.00282109289,2025-11-11 21:42:00+00:00,high,50878.397483926,74.94117949647597,15.5517429139334,46.46319134192066
Short,2025-11-12 05:19:00+00:00,2025-11-12 05:26:00+00:00,50879.439867385,50892.9,51052.22030476829,50015.537680468544,2025-11-11 21:42:00+00:00,high,50879.439867385,74.94117949647597,23.18560951202987,46.46319134192066
Short,2025-11-12 15:45:00+00:00,2025-11-12 16:32:00+00:00,51277.02656415071,51274.3,51410.03430554628,50611.987857172855,2025-11-12 13:40:00+00:00,high,51277.02656415071,81.46740015903534,63.58118239595528,43.45502514970026
Short,2025-11-12 16:33:00+00:00,2025-11-12 16:37:00+00:00,51261.82622564934,51272.5,51393.94055694523,50601.254569169905,2025-11-12 13:40:00+00:00,high,51261.82622564934,90.4850376045878,47.92945496294681,41.51102399809588
Short,2025-11-12 16:38:00+00:00,2025-11-12 17:40:00+00:00,51261.77072089895,51246.0,51261.77072089895,50601.19906441952,2025-11-12 13:40:00+00:00,high,51261.77072089895,90.4850376045878,47.92945496294681,41.51102399809588
Short,2025-11-12 17:41:00+00:00,2025-11-12 17:58:00+00:00,51237.24285465014,51236.5,51374.18473371061,50552.53345934781,2025-11-12 13:40:00+00:00,high,51237.24285465014,90.4850376045878,27.239696434515565,41.51102399809588
