datetime,open,high,low,close,volume
2025-11-02 23:00:00,52315.9,52365.6,52315.9,52365.6,27
2025-11-02 23:01:00,52363.5,52408.2,52351.8,52403.9,80
2025-11-02 23:02:00,52401.9,52424.6,52392.1,52403.5,60
2025-11-02 23:03:00,52406.0,52417.5,52398.6,52409.3,39
2025-11-02 23:04:00,52409.6,52425.6,52401.7,52424.3,41
2025-11-02 23:05:00,52425.3,52447.8,52419.3,52447.8,30
2025-11-02 23:06:00,52447.4,52447.4,52426.3,52433.9,30
2025-11-02 23:07:00,52441.4,52465.8,52437.6,52465.4,33
2025-11-02 23:08:00,52462.9,52498.1,52462.9,52476.8,63
2025-11-02 23:09:00,52476.5,52503.5,52476.4,52498.5,34
2025-11-02 23:10:00,52498.4,52513.1,52498.4,52506.1,26
2025-11-02 23:11:00,52506.0,52506.0,52498.4,52498.4,5
2025-11-02 23:12:00,52495.9,52503.6,52495.9,52496.4,13
2025-11-02 23:13:00,52496.9,52514.7,52496.9,52514.7,23
2025-11-02 23:14:00,52513.3,52516.2,52486.8,52486.8,26
2025-11-02 23:15:00,52487.4,52526.8,52487.4,52525.3,40
2025-11-02 23:16:00,52521.2,52534.1,52519.5,52529.6,25
2025-11-02 23:17:00,52531.0,52547.3,52528.6,52529.8,32
2025-11-02 23:18:00,52530.8,52533.3,52515.9,52515.9,21
2025-11-02 23:19:00,52518.4,52518.5,52515.9,52518.5,6
2025-11-02 23:20:00,52516.0,52546.3,52516.0,52541.7,32
2025-11-02 23:21:00,52540.7,52543.2,52512.3,52526.5,32
2025-11-02 23:22:00,52529.0,52529.0,52517.4,52519.9,14
2025-11-02 23:23:00,52521.2,52523.1,52478.5,52481.0,30
2025-11-02 23:24:00,52480.9,52481.5,52478.7,52478.7,10
2025-11-02 23:25:00,52478.6,52478.6,52428.9,52428.9,26
2025-11-02 23:26:00,52426.4,52429.1,52394.4,52399.0,41
2025-11-02 23:27:00,52400.1,52410.8,52400.1,52410.5,23
2025-11-02 23:28:00,52410.6,52412.9,52404.1,52408.0,27
2025-11-02 23:29:00,52408.1,52415.3,52394.0,52411.7,24
2025-11-02 23:30:00,52409.2,52414.2,52335.8,52368.9,84
2025-11-02 23:31:00,52371.4,52436.8,52371.4,52377.9,81
2025-11-02 23:32:00,52378.6,52464.6,52378.6,52438.8,66
2025-11-02 23:33:00,52441.3,52504.2,52438.3,52504.2,36
2025-11-02 23:34:00,52504.0,52518.5,52474.9,52475.3,37
2025-11-02 23:35:00,52472.8,52485.0,52435.1,52435.1,41
2025-11-02 23:36:00,52435.3,52449.6,52430.5,52443.6,50
2025-11-02 23:37:00,52442.8,52442.8,52421.4,52421.4,29
2025-11-02 23:38:00,52422.1,52423.7,52384.0,52384.9,34
2025-11-02 23:39:00,52382.4,52431.3,52379.9,52422.7,43
2025-11-02 23:40:00,52425.2,52433.2,52371.4,52399.2,61
2025-11-02 23:41:00,52396.7,52409.3,52391.4,52406.3,25
2025-11-02 23:42:00,52406.1,52421.5,52401.1,52403.6,40
2025-11-02 23:43:00,52406.1,52458.4,52405.8,52447.9,62
2025-11-02 23:44:00,52450.4,52477.5,52415.0,52418.8,76
2025-11-02 23:45:00,52418.0,52464.6,52418.0,52460.3,99
2025-11-02 23:46:00,52462.8,52475.8,52440.7,52450.9,73
2025-11-02 23:47:00,52453.4,52458.9,52420.1,52440.2,62
2025-11-02 23:48:00,52437.7,52442.7,52405.5,52411.6,70
2025-11-02 23:49:00,52414.1,52444.4,52399.3,52443.8,68
2025-11-02 23:50:00,52446.3,52472.8,52441.6,52472.8,93
2025-11-02 23:51:00,52470.3,52470.3,52422.0,52423.6,50
2025-11-02 23:52:00,52421.1,52446.1,52421.1,52440.5,47
2025-11-02 23:53:00,52438.0,52440.3,52420.8,52433.5,44
2025-11-02 23:54:00,52433.7,52446.2,52423.8,52423.8,45
2025-11-02 23:55:00,52423.9,52426.8,52406.6,52418.3,62
2025-11-02 23:56:00,52418.9,52435.8,52408.5,52435.8,42
2025-11-02 23:57:00,52435.5,52436.0,52406.7,52414.2,43
2025-11-02 23:58:00,52416.7,52426.6,52411.5,52411.7,35
2025-11-02 23:59:00,52411.8,52411.8,52386.4,52386.4,41
2025-11-03 00:00:00,52383.3,52398.4,52367.7,52381.3,94
2025-11-03 00:01:00,52381.4,52410.6,52380.7,52409.7,80
2025-11-03 00:02:00,52407.2,52411.3,52388.5,52391.2,71
2025-11-03 00:03:00,52390.4,52398.5,52375.0,52392.9,57
2025-11-03 00:04:00,52390.4,52406.3,52386.2,52389.3,65
2025-11-03 00:05:00,52386.8,52404.7,52386.8,52402.1,47
2025-11-03 00:06:00,52402.0,52413.1,52395.0,52413.1,67
2025-11-03 00:07:00,52415.6,52417.0,52404.9,52413.3,84
2025-11-03 00:08:00,52412.0,52414.5,52394.6,52397.9,47
2025-11-03 00:09:00,52397.3,52403.5,52386.0,52400.8,56
2025-11-03 00:10:00,52403.3,52410.4,52391.2,52394.7,54
2025-11-03 00:11:00,52392.2,52392.2,52348.1,52348.1,112
2025-11-03 00:12:00,52350.6,52353.1,52325.2,52335.9,120
2025-11-03 00:13:00,52338.4,52359.3,52338.4,52356.8,56
2025-11-03 00:14:00,52354.3,52355.4,52334.4,52344.1,53
2025-11-03 00:15:00,52343.2,52367.5,52340.3,52366.8,68
2025-11-03 00:16:00,52364.3,52371.8,52345.5,52352.9,84
2025-11-03 00:17:00,52349.8,52353.4,52340.0,52340.8,49
2025-11-03 00:18:00,52341.5,52349.9,52340.5,52341.3,72
2025-11-03 00:19:00,52337.8,52353.3,52332.8,52350.8,38
2025-11-03 00:20:00,52350.4,52354.4,52338.9,52354.4,49
2025-11-03 00:21:00,52351.9,52374.8,52346.5,52355.8,110
2025-11-03 00:22:00,52353.3,52374.8,52353.2,52364.2,49
2025-11-03 00:23:00,52361.7,52365.8,52350.1,52351.1,84
2025-11-03 00:24:00,52350.9,52364.7,52350.6,52359.4,54
2025-11-03 00:25:00,52356.9,52360.0,52315.7,52316.8,77
2025-11-03 00:26:00,52319.3,52321.7,52308.7,52311.2,74
2025-11-03 00:27:00,52308.7,52316.5,52307.0,52314.1,48
2025-11-03 00:28:00,52316.6,52329.3,52316.6,52324.8,43
